track_name,artist,listeners,playcount
Shape of You,Ed Sheeran,1092108,0
Shape of You - Acoustic,Ed Sheeran,74500,0
Shape of you,Fame On Fire,27796,0
Shape of You - Stormzy Remix,Ed Sheeran,35891,0
Shape of You - Rock,Our Last Night,20761,0
Blinding Lights,The Weeknd,1956330,0
City of Blinding Lights,U2,410905,0
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,118328,0
Blinding Lights - Chromatics Remix,The Weeknd,47837,0
Blinding Lights - Live,The Weeknd,30541,0
Rolling in the Deep,Adele,2263586,0
Rolling In The Deep - Recorded At Spotify Studios NYC,Greta Van Fleet,77587,0
Rolling In The Deep,Go Radio,76001,0
Rolling in the Deep,The Piano Guys,47337,0
Rolling in the Deep (feat. Jonathan Groff),Glee Cast,23586,0
Someone Like You,Adele,1849826,0
Someone Like You,Mac Miller,160137,0
Someone Like You (feat. Joy Oladokun),Noah Kahan,92608,0
Find someone like you,Snoh Aalegra,81951,0
Someone Like You (Live Acoustic),Adele,123024,0
Bohemian Rhapsody - Remastered 2011,Queen,1303013,0
Bohemian Rhapsody,Queen,1958627,0
Bohemian Rhapsody - 2011 Mix,Queen,208032,0
Brohemian Rhapsody,blink-182,69503,0
Bohemian Rhapsody,Panic! at the Disco,122282,0
